mk_individual_id,PersonID,mk_individual_name,mk_individual_first_name,LastName,FirstName,IsCurrent,altnames
639,2628,שופמן,יוסף,שופמן,יוסף,False,"[""יוסף שופמן""]"
640,2629,שוקן,גרשום,שוקן,גרשום,False,"[""גרשום שוקן""]"
641,2630,שורש,שמואל,שורש,שמואל,False,"[""שמואל שורש""]"
681,2631,שזר,זלמן,שזר,זלמן,False,"[""זלמן שזר""]"
642,2632,שחור,בנימין,שחור,בנימין,False,"[""בנימין שחור""]"
118,2633,שחל,משה,שחל,משה,False,"[""משה שחל""]"
172,2634,שטרית,שמעון,שטרית,שמעון,False,"[""שמעון שטרית""]"
120,2635,שטרן,אברהם,שטרן,אברהם,False,"[""אברהם שטרן""]"
644,2636,שטרן,דוד,שטרן,דוד,False,"[""דוד שטרן""]"
645,2637,שטרן,מרדכי-חיים,שטרן,מרדכי-חיים,False,"[""מרדכי-חיים שטרן""]"
646,2638,שטרן-קטן,שרה,שטרן-קטן,שרה,False,"[""שרה שטרן-קטן""]"
643,2639,שיטרית,בכור-שלום,שיטרית,בכור-שלום,False,"[""בכור-שלום שיטרית""]"
647,2640,שיכמן,שבתאי,שיכמן,שבתאי,False,"[""שבתאי שיכמן""]"
648,2641,שילוח,צבי,שילוח,צבי,False,"[""צבי שילוח""]"
173,2642,שילנסקי,דב,שילנסקי,דב,False,"[""דב שילנסקי""]"
649,2643,שינמן,פנחס,שינמן,פנחס,False,"[""פנחס שינמן""]"
2644,2644,שיפמן,דוד,שיפמן,דוד,False,"[""דוד שיפמן""]"
651,2645,שכטרמן,אברהם,שכטרמן,אברהם,False,"[""אברהם שכטרמן""]"
652,2646,שלום,אפרים,שלום,אפרים,False,"[""אפרים שלום""]"
653,2647,שליטא,בני,שליטא,בני,False,"[""בני שליטא""]"
654,2648,שם-טוב,ויקטור,שם-טוב,ויקטור,False,"[""ויקטור שם-טוב""]"
174,2649,שמאי,יעקב,שמאי,יעקב,False,"[""יעקב שמאי""]"
124,2650,שמואלי,דורון,שמואלי,דורון,False,"[""דורון שמואלי""]"
655,2651,שמחונית,יהודית,שמחונית,יהודית,False,"[""יהודית שמחונית""]"
175,2652,שמיר,יצחק,שמיר,יצחק,False,"[""יצחק שמיר""]"
656,2653,שמיר,משה,שמיר,משה,False,"[""משה שמיר""]"
657,2654,שמעוני,חביב,שמעוני,חביב,False,"[""חביב שמעוני""]"
658,2655,שערי,יהודה,שערי,יהודה,False,"[""יהודה שערי""]"
659,2656,שפט,גרשון,שפט,גרשון,False,"[""גרשון שפט""]"
660,2657,שפטל,אריה,שפטל,אריה,False,"[""אריה שפטל""]"
176,2658,שפי,יעקב,שפי,יעקב,False,"[""יעקב שפי""]"
661,2659,שפייזר,אליהו,שפייזר,אליהו,False,"[""אליהו שפייזר""]"
177,2660,שפירא,אברהם,שפירא,אברהם,False,"[""אברהם שפירא""]"
663,2661,שפירא,חיים משה,שפירא,חיים משה,False,"[""חיים משה שפירא""]"
665,2662,שפירא,יעקב-שמשון,שפירא,יעקב-שמשון,False,"[""יעקב-שמשון שפירא""]"
666,2663,שפר,זאב,שפר,זאב,False,"[""זאב שפר""]"
667,2664,שפרינצק,יאיר,שפרינצק,יאיר,False,"[""יאיר שפרינצק""]"
668,2665,שפרינצק,יוסף,שפרינצק,יוסף,False,"[""יוסף שפרינצק""]"
669,2666,שרי,ראובן,שרי,ראובן,False,"[""ראובן שרי""]"
670,2667,שריר,אברהם,שריר,אברהם,False,"[""אברהם שריר""]"
671,2668,שרף,זאב,שרף,זאב,False,"[""זאב שרף""]"
673,2669,ששון,אליהו,ששון,אליהו,False,"[""אליהו ששון""]"
674,2670,ששון-סילס,בנימין,ששון-סילס,בנימין,False,"[""בנימין ששון-סילס""]"
675,2671,תבורי,אפרים,תבורי,אפרים,False,"[""אפרים תבורי""]"
2672,2672,תיכון,דן,תיכון,דן,False,"[""דן תיכון""]"
676,2673,תלמי,אמה,תלמי,אמה,False,"[""אמה תלמי""]"
